1;Busn History 2015;Management;B;1;57;43783278;Business History - tax records, events and achievements in 2015;false
2;Busn History 2016;Management;B;1;58;43783279;Business History - tax records, events and achievements in 2016;false
3;Busn History 2017;Management;B;1;59;43784280;Business History - tax records, events and achievements in 2017;false
4;Client A's Project;Dev Team;D;4;7;43784761;Client A's project files and copyright material.;false
5;Client A's Testing Records;Testing Team;T;2;18;43784880;Client A's project test plan, test cases and associated emails;false
6;Web Site 2017;Web Team;W;1;27;43784901;Our business' 2017 web site development and graphics files;false
7;HRM Records 2017;HR Team;B;1;60;43785102;Our business' 2017 human resource management records;false
8;Marketing Records 2017;Marketing;B;1;61;43785367;Our business' 2017 marketing and sales records;false
9;Client B's Project;Dev Team;D;4;15;43785444;Client B's project files and copyright material;false
10;Client A's Testing Records;Testing Team;T;2;32;43785445;Client B's project test plan, test cases and associated emails;false
11;Busn History 2018;Management;B;1;64;43785498;Business History - tax records, events and achievements in 2018;false
12;Test;Test;C;3;45;2323522;Test;true
8;Marketing Records 2017;Marketing;B;1;61;43785367;Our business' 2017 marketing and sales records;false
8;Marketing Records 2017;Marketing;B;1;61;43785367;Our business' 2017 marketing and sales records;false
7;HRM Records 2017;HR Team;B;1;60;43785102;Our business' 2017 human resource management records;true
